function,method,domain,role,required_data,package_output,package_flag,flag_type,evidence_use,threshold_rule,threshold_source,notes,data_basis,aggregation_family,correction_variant,variant_treatment
detect_pk,W_S,PK,supporting,"ci, psi, x","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Signed Wald test,score,pk_W_S,none,single_index
detect_pk,W_T,PK,supporting,"ci, psi, y","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,RT signed Wald test,time,pk_W_T,none,single_index
detect_tt,EDI_R_CO,TP,supporting,"psi, r, r_0","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Response-based erasure detection; CO is the prespecified primary correction for B3 entry.,response,tt_EDI_R,CO,family_level_signal
detect_tt,EDI_R_NO,TP,supporting,"psi, r, r_0","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Response-based erasure detection; NO correction retained for sensitivity/audit only.,response,tt_EDI_R,NO,sensitivity_only
detect_tt,EDI_R_TS,TP,supporting,"psi, r, r_0","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Response-based erasure detection; TS correction retained for sensitivity/audit only.,response,tt_EDI_R,TS,sensitivity_only
detect_tt,EDI_SD_CO,TP,preferred_primary,"psi, x, d, x_0, d_0","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Score-distractor erasure detection; CO is the prespecified primary correction for B3 entry.,score,tt_EDI_SD,CO,family_level_signal
detect_tt,EDI_SD_NO,TP,preferred_primary,"psi, x, d, x_0, d_0","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Score-distractor erasure detection; NO correction retained for sensitivity/audit only.,score,tt_EDI_SD,NO,sensitivity_only
detect_tt,EDI_SD_TS,TP,preferred_primary,"psi, x, d, x_0, d_0","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Score-distractor erasure detection; TS correction retained for sensitivity/audit only.,score,tt_EDI_SD,TS,sensitivity_only
detect_tt,GBT_R,TP,supporting,"psi, r, r_0","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Response-based GBT; not group-level,response,tt_GBT_R,none,single_index
detect_tt,GBT_SD,TP,supporting,"psi, x, d, x_0, d_0","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Score-distractor GBT; not group-level,score,tt_GBT_SD,none,single_index
detect_tt,L_R,TP,supporting,"psi, r, r_0","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Response-based signed likelihood ratio; not group-level,response,tt_L_R,none,single_index
detect_tt,L_SD,TP,supporting,"psi, x, d, x_0, d_0","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Score-distractor signed likelihood ratio; not group-level,score,tt_L_SD,none,single_index
detect_cp,L_S_MAX1,CP,auxiliary,"cpi, psi, x","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,score,cp_L_S_MAX1,none,display_only
detect_cp,L_S_MAX2,CP,auxiliary,"cpi, psi, x","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,score,cp_L_S_MAX2,none,display_only
detect_cp,L_S_MIN1,CP,auxiliary,"cpi, psi, x","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,score,cp_L_S_MIN1,none,display_only
detect_cp,L_T_MAX1,CP,auxiliary,"cpi, psi, y","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,time,cp_L_T_MAX1,none,display_only
detect_cp,L_T_MAX2,CP,auxiliary,"cpi, psi, y","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,time,cp_L_T_MAX2,none,display_only
detect_cp,L_T_MIN1,CP,auxiliary,"cpi, psi, y","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,time,cp_L_T_MIN1,none,display_only
detect_cp,S_S_MAX1,CP,auxiliary,"cpi, psi, x","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,score,cp_S_S_MAX1,none,display_only
detect_cp,S_S_MAX2,CP,auxiliary,"cpi, psi, x","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,score,cp_S_S_MAX2,none,display_only
detect_cp,S_S_MIN1,CP,auxiliary,"cpi, psi, x","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,score,cp_S_S_MIN1,none,display_only
detect_cp,W_S_MAX1,CP,auxiliary,"cpi, psi, x","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,score,cp_W_S_MAX1,none,display_only
detect_cp,W_S_MAX2,CP,auxiliary,"cpi, psi, x","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,score,cp_W_S_MAX2,none,display_only
detect_cp,W_S_MIN1,CP,auxiliary,"cpi, psi, x","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,score,cp_W_S_MIN1,none,display_only
detect_cp,W_T_MAX1,CP,auxiliary,"cpi, psi, y","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,time,cp_W_T_MAX1,none,display_only
detect_cp,W_T_MAX2,CP,auxiliary,"cpi, psi, y","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,time,cp_W_T_MAX2,none,display_only
detect_cp,W_T_MIN1,CP,auxiliary,"cpi, psi, y","stat,cp",no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Change-point statistic retained for localization and interpretation only; does not enter priority in the current rulebook.,time,cp_W_T_MIN1,none,display_only
detect_cp,cp_location,CP,auxiliary,output cp,cp,no,auxiliary_only,Support Only,No independent flag.,none; localization only in current rulebook,Used to locate the estimated change point only; does not enter priority.,summary,cp_cp_location,none,display_only
PsyMAS-derived,missing_domain,CTX,auxiliary,data availability checks,summary,no,auxiliary_only,Support Only,No independent flag.,data validation rule,Used to assign Unavailable/Limited states,,,,
PsyMAS-derived,pair_count,SIM,auxiliary,pairwise flags,summary,no,auxiliary_only,Support Only,No independent flag.,derived from pair flags,Used for audit and reporting,,,,
Evidence policy,B3 consumes only valid index-level flags,all,policy,,mapping rule,,policy,Policy,raw statistic without calibrated flag is display/audit only,config/index_thresholds.yaml,package p-value flags and calibrated/literature-supported thresholds may feed B3; uncalibrated external-threshold indices do not.,,,,
